innings_num,day,over,ball_in_match,batting_team,innings_runs,innings_wickets,current_lead,p_Australia_win,p_India_win,p_draw
1.0,1.0,41.0,254.0,Australia,105.0,3.0,105.0,0.4671502,0.34855807,0.18429172
1.0,1.0,41.0,255.0,Australia,105.0,3.0,105.0,0.4705885,0.3511235,0.17828804
1.0,1.0,42.0,256.0,Australia,109.0,3.0,109.0,0.487861,0.30235764,0.2097814
1.0,1.0,42.0,257.0,Australia,109.0,3.0,109.0,0.4862554,0.30136257,0.21238208
1.0,1.0,42.0,258.0,Australia,109.0,3.0,109.0,0.4862554,0.30136257,0.21238208
1.0,1.0,42.0,259.0,Australia,109.0,3.0,109.0,0.4862554,0.30136257,0.21238208
1.0,1.0,42.0,260.0,Australia,110.0,3.0,110.0,0.4763432,0.3300861,0.19357069
1.0,1.0,42.0,261.0,Australia,110.0,3.0,110.0,0.47765082,0.33099222,0.19135693
1.0,1.0,43.0,262.0,Australia,110.0,3.0,110.0,0.4962275,0.28836662,0.2154059
1.0,1.0,43.0,263.0,Australia,110.0,3.0,110.0,0.4962308,0.28836852,0.21540064
1.0,1.0,43.0,264.0,Australia,110.0,3.0,110.0,0.4962308,0.28836852,0.21540064
1.0,1.0,43.0,265.0,Australia,110.0,3.0,110.0,0.4950464,0.28768027,0.21727337
1.0,1.0,43.0,266.0,Australia,110.0,3.0,110.0,0.49345437,0.28675508,0.21979052
1.0,1.0,43.0,267.0,Australia,110.0,3.0,110.0,0.4965467,0.28855208,0.21490124
1.0,1.0,44.0,268.0,Australia,110.0,3.0,110.0,0.47398418,0.34451076,0.18150502
1.0,1.0,44.0,269.0,Australia,110.0,3.0,110.0,0.47398418,0.34451076,0.18150502
1.0,1.0,44.0,270.0,Australia,110.0,3.0,110.0,0.47528675,0.34545752,0.17925571
1.0,1.0,44.0,271.0,Australia,110.0,3.0,110.0,0.47712752,0.34424564,0.17862688
1.0,1.0,44.0,272.0,Australia,110.0,3.0,110.0,0.47548375,0.3430597,0.18145652
